Département,Code Postal,Ville,Agence d'Intervention,Actif
1,01170,Gex,Marseile,Oui
1,01130,Giron,Marseile,Oui
1,01190,Gorrevod,Marseile,Oui
1,01250,Grand-Corent,Marseile,Oui
1,01290,Grièges,Marseile,Oui
1,01220,Grilly,Marseile,Oui
1,01100,Groissiat,Marseile,Oui
1,01090,Guéreins,Marseile,Oui
1,01250,Hautecourt-Romanèche,Marseile,Oui
1,01110,Plateau d'Hauteville,Marseile,Oui
1,01260,Haut Valromey,Marseile,Oui
1,01140,Illiat,Marseile,Oui
1,01200,Injoux-Génissiat,Marseile,Oui
1,01680,Innimond,Marseile,Oui
1,01430,Izenave,Marseile,Oui
1,01580,Izernore,Marseile,Oui
1,01300,Izieu,Marseile,Oui
1,01480,Jassans-Riottier,Marseile,Oui
1,01250,Jasseron,Marseile,Oui
1,01340,Jayat,Marseile,Oui
1,01250,Journans,Marseile,Oui
1,01800,Joyeux,Marseile,Oui
1,01640,Jujurieux,Marseile,Oui
1,01450,Labalme,Marseile,Oui
1,01150,Lagnieu,Marseile,Oui
1,01290,Laiz,Marseile,Oui
1,01130,Le Poizat-Lalleyriat,Marseile,Oui
1,01430,Lantenay,Marseile,Oui
1,01330,Lapeyrouse,Marseile,Oui
1,01350,Lavours,Marseile,Oui
1,01200,Léaz,Marseile,Oui
1,01410,Lélex,Marseile,Oui
1,01240,Lent,Marseile,Oui
1,01560,Lescheroux,Marseile,Oui
1,01150,Leyment,Marseile,Oui
1,01450,Leyssard,Marseile,Oui
1,01420,Surjoux-Lhopital,Marseile,Oui
1,01680,Lhuis,Marseile,Oui
1,01680,Lompnas,Marseile,Oui
1,01360,Loyettes,Marseile,Oui
1,01090,Lurcy,Marseile,Oui
1,01300,Magnieu,Marseile,Oui
1,01430,Maillat,Marseile,Oui
1,01340,Malafretaz,Marseile,Oui
1,01560,Mantenay-Montlin,Marseile,Oui
1,01570,Manziat,Marseile,Oui
1,01851,Marboz,Marseile,Oui
1,01680,Marchamp,Marseile,Oui
1,01300,Marignieu,Marseile,Oui
1,01240,Marlieux,Marseile,Oui
1,01340,Marsonnas,Marseile,Oui
1,01100,Martignat,Marseile,Oui
1,01600,Massieux,Marseile,Oui
1,01300,Massignieu-de-Rives,Marseile,Oui
1,01580,Matafelon-Granges,Marseile,Oui
1,01370,Meillonnas,Marseile,Oui
1,01450,Mérignat,Marseile,Oui
1,01480,Messimy-sur-Saône,Marseile,Oui
1,01800,Meximieux,Marseile,Oui
1,01250,Bohas-Meyriat-Rignat,Marseile,Oui
1,01660,Mézériat,Marseile,Oui
1,01170,Mijoux,Marseile,Oui
1,01390,Mionnay,Marseile,Oui
1,01700,Miribel,Marseile,Oui
1,01600,Misérieux,Marseile,Oui
1,01140,Mogneneins,Marseile,Oui
1,01250,Montagnat,Marseile,Oui
1,01470,Montagnieu,Marseile,Oui
1,01200,Montanges,Marseile,Oui
1,01090,Montceaux,Marseile,Oui
1,01310,Montcet,Marseile,Oui
